subset,language,tokenizer,tier,mean_tfr,median_tfr,std_tfr,mean_token_count,n_items
all,English,tiktoken_o200k,T1,1.0,1.0,0.0,10.25,20
all,English,tiktoken_o200k,T2,1.0,1.0,0.0,55.666666666666664,30
all,English,tiktoken_o200k,T3,1.0,1.0,0.0,108.25,20
all,Hindi,mistral_7b_v0.1,T1,4.757005910755912,4.5606060606060606,1.535420924845267,48.85,20
all,Hindi,mistral_7b_v0.1,T2,5.282336283394473,5.380094043887147,0.5678770526515582,303.7,30
all,Hindi,mistral_7b_v0.1,T3,5.049591069554444,4.936311311311311,0.45262698761093867,568.95,20
all,Hindi,qwen2.5_7b,T1,4.491765301691773,4.675324675324676,1.3719031802412196,43.8,20
all,Hindi,qwen2.5_7b,T2,4.893437757591887,4.973214285714286,0.4629076268311218,270.93333333333334,30
all,Hindi,qwen2.5_7b,T3,4.70153847556808,4.655992303463441,0.36560828902831977,508.7,20
all,Hindi,tiktoken_o200k,T1,1.8138500388500394,1.8444444444444446,0.4422059249089051,17.75,20
all,Hindi,tiktoken_o200k,T2,1.6502877108203515,1.6763573353869852,0.1642880237679433,91.86666666666666,30
all,Hindi,tiktoken_o200k,T3,1.6551068122015622,1.6268945252087845,0.12101432855007072,179.1,20
all,Tamil,mistral_7b_v0.1,T1,5.619911616161616,5.6,3.1299314332501633,56.15,20
all,Tamil,mistral_7b_v0.1,T2,6.769300651600204,6.632253711201079,0.6105966832589661,388.46666666666664,30
all,Tamil,mistral_7b_v0.1,T3,6.740813328958431,6.891874180865006,0.48770520935285144,760.1,20
all,Tamil,qwen2.5_7b,T1,5.668593514328809,6.05,3.037407689166372,54.0,20
all,Tamil,qwen2.5_7b,T2,6.743077932782879,6.636904761904762,0.5962154703993863,371.8333333333333,30
all,Tamil,qwen2.5_7b,T3,6.659068810627419,6.687520485086857,0.4202054240778738,720.5,20
all,Tamil,tiktoken_o200k,T1,2.1170093795093794,2.0863636363636364,0.8335559262360595,20.45,20
all,Tamil,tiktoken_o200k,T2,2.0500933663338765,2.0549450549450547,0.22312186625135524,113.73333333333333,30
all,Tamil,tiktoken_o200k,T3,2.0476313355278926,2.0507759784075574,0.17357846355314485,221.95,20
all,Yoruba,mistral_7b_v0.1,T1,3.0136607142857144,2.8095238095238093,0.9006810996235496,31.35,20
all,Yoruba,mistral_7b_v0.1,T2,3.5086192992190037,3.5101826894279724,0.6271928087318412,200.76666666666668,30
all,Yoruba,mistral_7b_v0.1,T3,3.261497037781749,3.324781061850027,0.5843520260765087,368.25,20
all,Yoruba,qwen2.5_7b,T1,2.9956533091091915,2.7662337662337664,0.8349173454595511,29.65,20
all,Yoruba,qwen2.5_7b,T2,3.293428558412265,3.3153021442495128,0.5665201747323572,181.0,30
all,Yoruba,qwen2.5_7b,T3,3.0290796209720554,3.1235994397759104,0.5578510682549087,328.05,20
